time,open,high,low,close,tick_volume,spread,real_volume
1688572800,1.08943,1.0901399999999999,1.08858,1.08915,4327,0,0
1688576400,1.08917,1.08949,1.08671,1.0873599999999999,6344,0,0
1688580000,1.0873599999999999,1.0877,1.0865,1.08671,3030,0,0
1688583600,1.08671,1.08672,1.08592,1.08609,2048,0,0
1688587200,1.08609,1.08639,1.08583,1.08598,1304,0,0
1688590800,1.08598,1.08654,1.0851,1.08535,2167,0,0
1688594400,1.08536,1.08567,1.08526,1.0855,1010,0,0
1688598000,1.08551,1.08556,1.08526,1.08534,783,0,0
1688601600,1.08533,1.08567,1.08499,1.08544,727,13,0
1688605200,1.08547,1.0857,1.08526,1.08527,491,2,0
1688608800,1.08527,1.08562,1.0852,1.08552,375,0,0
1688612400,1.08554,1.0856,1.08463,1.0849,1129,0,0
1688616000,1.0849,1.08505,1.08428,1.08501,1240,0,0
1688619600,1.085,1.08531,1.08461,1.08471,1087,0,0
1688623200,1.08471,1.08471,1.08399,1.08402,894,0,0
1688626800,1.084,1.08437,1.08337,1.08434,1629,0,0
1688630400,1.08433,1.08564,1.08417,1.0855299999999999,1838,0,0
1688634000,1.08552,1.08693,1.08529,1.08673,3059,0,0
1688637600,1.08673,1.08755,1.08523,1.08555,4222,0,0
1688641200,1.08555,1.08658,1.08455,1.08641,4216,0,0
1688644800,1.08643,1.08687,1.08602,1.08618,2437,0,0
1688648400,1.08617,1.089,1.08613,1.08869,4552,0,0
1688652000,1.08869,1.08979,1.08835,1.08954,2916,0,0
1688655600,1.08954,1.09007,1.08585,1.08739,11299,0,0
1688659200,1.08739,1.08878,1.08672,1.08828,8078,0,0
1688662800,1.08775,1.08789,1.08336,1.08683,11428,0,0
1688666400,1.08683,1.08783,1.08584,1.0872,4940,0,0
1688670000,1.0872,1.08862,1.08708,1.08725,2978,0,0
1688673600,1.08723,1.08822,1.08722,1.0882,1525,0,0
1688677200,1.0882,1.08858,1.08774,1.08809,1212,0,0
1688680800,1.08809,1.08887,1.08809,1.08881,1214,0,0
1688684400,1.08881,1.08929,1.08852,1.08883,632,0,0
1688688000,1.08853,1.08887,1.0884800000000001,1.08879,214,9,0
1688691600,1.08879,1.08911,1.08876,1.0891,505,2,0
1688695200,1.0891,1.08949,1.08893,1.08895,533,0,0
1688698800,1.08895,1.08912,1.08824,1.08853,1459,0,0
1688702400,1.08851,1.08913,1.08849,1.0887,1203,0,0
1688706000,1.0887,1.08885,1.08834,1.0886,638,0,0
1688709600,1.08858,1.08915,1.08858,1.08877,730,0,0
1688713200,1.08877,1.08951,1.08857,1.08912,840,0,0
1688716800,1.08916,1.08963,1.08862,1.08875,1108,0,0
1688720400,1.08876,1.09003,1.08809,1.0883,2879,0,0
1688724000,1.08829,1.08911,1.08716,1.08761,3819,0,0
1688727600,1.0876,1.08809,1.08671,1.08776,3631,0,0
1688731200,1.08776,1.0889199999999999,1.08701,1.08805,3504,0,0
1688734800,1.08805,1.08964,1.08779,1.08924,2409,0,0
1688738400,1.08924,1.08971,1.08876,1.08877,2386,0,0
1688742000,1.08878,1.09316,1.08746,1.09118,13557,0,0
1688745600,1.09117,1.0925,1.08954,1.09163,12297,0,0
1688749200,1.09164,1.09541,1.09097,1.0949,7955,0,0
1688752800,1.09489,1.09635,1.09447,1.09631,5432,0,0
1688756400,1.09632,1.09728,1.09631,1.09718,3173,0,0
1688760000,1.09717,1.09734,1.09665,1.09677,2198,0,0
1688763600,1.09677,1.09704,1.0965799999999999,1.09674,1705,0,0
1688767200,1.09674,1.09696,1.09633,1.09668,1733,0,0
1688770800,1.09668,1.09695,1.09645,1.0968,794,0,0
1688947200,1.0959,1.09665,1.09541,1.09641,301,20,0
1688950800,1.09649,1.09698,1.09635,1.09662,956,2,0
1688954400,1.09662,1.0968,1.09623,1.0967,746,0,0
1688958000,1.0967,1.0969,1.09569,1.09642,1495,0,0
1688961600,1.09642,1.09695,1.09572,1.09605,1846,0,0
1688965200,1.09605,1.09633,1.09565,1.09606,1261,0,0
1688968800,1.09606,1.09623,1.0953,1.09559,965,0,0
1688972400,1.09559,1.09581,1.09526,1.09531,926,0,0
1688976000,1.09531,1.09563,1.09461,1.09462,1246,0,0
1688979600,1.09462,1.09548,1.09452,1.09504,2481,0,0
1688983200,1.09504,1.09655,1.09484,1.09545,3002,0,0
1688986800,1.09545,1.09656,1.09529,1.09648,2256,0,0
1688990400,1.09648,1.09734,1.09606,1.09618,2793,0,0
1688994000,1.09618,1.09653,1.09547,1.09594,2172,0,0
1688997600,1.09594,1.09622,1.09534,1.09539,1971,0,0
1689001200,1.09539,1.09582,1.09436,1.0947,3836,0,0
1689004800,1.09471,1.09713,1.09471,1.0967,4977,0,0
1689008400,1.09672,1.09803,1.09663,1.09747,4983,0,0
1689012000,1.09747,1.09929,1.09747,1.09901,3490,0,0
1689015600,1.09899,1.09913,1.09826,1.09893,1971,0,0
1689019200,1.09893,1.09967,1.09875,1.09953,1621,0,0
1689022800,1.09953,1.09994,1.09916,1.09991,1320,0,0
1689026400,1.09991,1.10004,1.09965,1.09981,1250,0,0
1689030000,1.09983,1.10015,1.09969,1.10007,622,0,0
1689033600,1.10008,1.10015,1.09946,1.09986,246,2,0
1689037200,1.0999,1.1002399999999999,1.09986,1.10009,503,2,0
1689040800,1.10009,1.10058,1.10009,1.10049,511,0,0
1689044400,1.10049,1.10088,1.10016,1.10067,1152,0,0
1689048000,1.10068,1.10131,1.10058,1.10092,1283,0,0
1689051600,1.10092,1.10202,1.10063,1.10188,1247,0,0
1689055200,1.10188,1.10192,1.10119,1.10175,1120,0,0
1689058800,1.10175,1.10201,1.10154,1.10198,770,0,0
1689062400,1.10198,1.10222,1.1006,1.10072,1608,0,0
1689066000,1.10071,1.1027,1.10071,1.10214,3368,0,0
1689069600,1.10214,1.10229,1.10076,1.10083,4370,0,0
1689073200,1.10082,1.10156,1.10022,1.10027,2665,0,0
1689076800,1.10027,1.10086,1.09973,1.10063,4140,0,0
1689080400,1.10063,1.10127,1.10039,1.1006,2575,0,0
1689084000,1.1006,1.10063,1.09831,1.09837,3146,0,0
1689087600,1.09837,1.09904,1.09769,1.0982,4242,0,0
1689091200,1.09819,1.09936,1.09796,1.09872,4790,0,0
1689094800,1.09874,1.09933,1.09783,1.099,4102,0,0
1689098400,1.099,1.09947,1.09865,1.09918,2847,0,0
1689102000,1.09918,1.10029,1.0991,1.10023,1893,0,0
1689105600,1.10022,1.10092,1.1002,1.10067,1633,0,0
1689109200,1.10067,1.10077,1.09977,1.09992,1021,0,0
1689112800,1.09992,1.10074,1.0999,1.10063,1529,0,0
1689116400,1.10063,1.10086,1.10049,1.10079,553,0,0
1689120000,1.10074,1.10088,1.09972,1.10056,504,2,0
1689123600,1.10057,1.10118,1.10057,1.10116,376,2,0
1689127200,1.10116,1.10143,1.10112,1.10137,356,0,0
1689130800,1.10137,1.10216,1.10121,1.10187,1685,0,0
1689134400,1.10187,1.10317,1.10185,1.10272,1853,0,0
1689138000,1.10272,1.10335,1.1025,1.1031,1577,0,0
1689141600,1.1031,1.10315,1.10267,1.10296,1029,0,0
1689145200,1.10296,1.10369,1.10293,1.10362,1080,0,0
1689148800,1.10362,1.10362,1.10257,1.10262,1458,0,0
1689152400,1.10262,1.10355,1.10205,1.10225,2179,0,0
1689156000,1.10223,1.10298,1.10215,1.10271,3033,0,0
1689159600,1.10271,1.10306,1.10216,1.10223,2463,0,0
1689163200,1.10222,1.1028,1.10184,1.10248,2141,0,0
1689166800,1.10248,1.10254,1.10187,1.10222,1840,0,0
1689170400,1.10223,1.10247,1.1013600000000001,1.10148,2770,0,0
1689174000,1.10153,1.1072,1.10149,1.10582,13274,0,0
1689177600,1.10583,1.11006,1.1056300000000001,1.10979,10625,0,0
1689181200,1.10977,1.11236,1.10887,1.11203,10096,0,0
1689184800,1.11204,1.11254,1.11105,1.11222,6793,0,0
1689188400,1.11221,1.11335,1.11205,1.11321,3451,0,0
1689192000,1.11319,1.11326,1.11246,1.11297,1976,0,0
1689195600,1.11301,1.114,1.1128,1.11383,2287,0,0
1689199200,1.11383,1.11404,1.11335,1.11372,1516,0,0
1689202800,1.1137,1.11379,1.11273,1.11292,1123,0,0
1689206400,1.1125099999999999,1.11333,1.1125099999999999,1.11282,456,14,0
1689210000,1.11275,1.1137,1.11275,1.11351,901,2,0
1689213600,1.11351,1.11405,1.11342,1.11402,784,0,0
1689217200,1.11403,1.1145100000000001,1.11375,1.11381,1408,0,0
1689220800,1.11381,1.11456,1.11365,1.11449,1631,0,0
1689224400,1.11449,1.11474,1.11394,1.1146,1369,0,0
1689228000,1.1146,1.11488,1.11424,1.11457,1099,0,0
1689231600,1.11457,1.11486,1.11406,1.11411,849,0,0
1689235200,1.11411,1.11433,1.11296,1.11311,1885,0,0
1689238800,1.11309,1.11501,1.11307,1.11484,3964,0,0
1689242400,1.11484,1.11578,1.11361,1.11554,5833,0,0
1689246000,1.11554,1.11701,1.11502,1.1161,4598,0,0
1689249600,1.1161,1.11744,1.11552,1.11728,3498,0,0
1689253200,1.11728,1.11737,1.11593,1.11715,3351,0,0
1689256800,1.11715,1.1178,1.11686,1.11744,2851,0,0
1689260400,1.11745,1.11893,1.11614,1.11797,9272,0,0
1689264000,1.11799,1.11951,1.11763,1.11943,8085,0,0
1689267600,1.11944,1.1196,1.11805,1.11959,6624,0,0
1689271200,1.11958,1.11967,1.11859,1.11928,3926,0,0
